CustomerID,Lookalikes
C0001,"[('C0181', 1.0), ('C0137', 1.0), ('C0152', 1.0)]"
C0002,"[('C0140', 1.0), ('C0186', 1.0), ('C0005', 1.0)]"
C0003,"[('C0085', 1.0), ('C0133', 1.0), ('C0174', 1.0)]"
C0004,"[('C0155', 1.0), ('C0148', 1.0), ('C0012', 1.0)]"
C0005,"[('C0159', 1.0), ('C0088', 1.0), ('C0140', 1.0)]"
C0006,"[('C0039', 1.0), ('C0195', 1.0), ('C0169', 1.0)]"
C0007,"[('C0146', 1.0), ('C0027', 1.0), ('C0177', 1.0)]"
C0008,"[('C0079', 1.0), ('C0067', 1.0), ('C0117', 1.0)]"
C0009,"[('C0198', 1.0), ('C0121', 1.0), ('C0119', 1.0)]"
C0010,"[('C0062', 1.0), ('C0132', 1.0), ('C0197', 1.0)]"
C0011,"[('C0158', 1.0), ('C0107', 1.0), ('C0048', 1.0)]"
C0012,"[('C0171', 1.0), ('C0004', 1.0), ('C0155', 1.0)]"
C0013,"[('C0096', 1.0), ('C0102', 1.0), ('C0163', 1.0)]"
C0014,"[('C0009', 1.0), ('C0198', 1.0), ('C0121', 1.0)]"
C0015,"[('C0094', 1.0), ('C0144', 1.0), ('C0020', 1.0)]"
C0016,"[('C0194', 1.0), ('C0183', 1.0), ('C0117', 1.0)]"
C0017,"[('C0105', 1.0), ('C0170', 1.0), ('C0182', 1.0)]"
C0018,"[('C0122', 1.0), ('C0008', 1.0), ('C0079', 1.0)]"
C0019,"[('C0172', 1.0), ('C0061', 1.0), ('C0167', 1.0)]"
C0020,"[('C0015', 1.0), ('C0094', 1.0), ('C0144', 1.0)]"
